Date,District,Type of Event,Question and Remarks
20180722,BAREILLY,UNKNOWN,"  Q: Can we take your valuable feedback on your registered event with UP100 P22071811701?   Ans: YES    Q: Are you satisfied with the immediate relief provided to address your issue?   Ans: Not Satisfied    Q: Please select the reason   Ans: Others    Comment: Ans:    Remark: Ans:     Caller_Santusht nahi _hai,   PRV time par pahuch gayi thi, vipakchhi ne thana me report likha diya hai ,  "
20180501,FAIZABAD,ACCIDENT,  Q: Can we take your valuable feedback on your registered event with UP100 P01051808036?   Ans: YES    Q: Are you satisfied with the immediate relief provided to address your issue?   Ans: Not Satisfied    Q: Please select the reason   Ans: No action taken by Police Station staff.    Q: Do you want to share any additional feedback?   Ans: NO    Comment: Ans:    Remark: Ans:    Caller santusth hai PRV time par pahunch gayi thi aur caller ki puri sahayta kari. Caller Police Station gaye lekin unki koi bhi sahayta nahi kari gai.  
20180722,BAREILLY,DOMESTIC VIOLENCE,"  Q: Can we take your valuable feedback on your registered event with UP100 P22071800398?   Ans: YES    Q: Are you satisfied with the immediate relief provided to address your issue?   Ans: Not Satisfied    Q: Please select the reason   Ans: Others    Comment: Ans:    Remark: Ans:     Caller_Santusht_nahi hai,   PRV time par pahuch gayi thi, koi karwahi nahi kiya , rajinama kara diya tha  "
20180501,GAUTAM B. NAGAR,ACCIDENT,"  Q: Can we take your valuable feedback on your registered event with UP100 P01051808927?   Ans: YES    Q: Are you satisfied with the immediate relief provided to address your issue?   Ans: Not Satisfied    Q: Please select the reason   Ans: PRV did not reach at the place of event.    Q: Do you want to share any additional feedback?   Ans: NO    Comment: Ans:    Remark: Ans: 30 min baad call kiya tha ghatna sthal par police sahayata nahi aai thi tab tak,  jab prv ne call liya tab caller dwara hospital kane ka sujhaw diya gaya tha , Not_Satisfied  "
20180501,LALITPUR,ACCIDENT,"  Q: Can we take your valuable feedback on your registered event with UP100 P01051808988?   Ans: YES    Q: Are you satisfied with the immediate relief provided to address your issue?   Ans: Not Satisfied    Q: Please select the reason   Ans: PRV did not reach at the place of event.    Q: Do you want to share any additional feedback?   Ans: NO    Comment: Ans:    Remark: Ans: CALLER NE KAHA KI POLICE NAHI AAYE THI ,,,CALLER SANTUST NAHI HAI ,,,,SAMANE SE POLICE 100 KI GADI JAA RAHI THI GADI ROK HOSPITAL LEKE GAYE ,,,,.... "
20180809,LUCKNOW,FEMALE HARRASSMENT,  Q: Can we take your valuable feedback on your registered event with UP100 P09081812838?   Ans: YES    Q: Are you satisfied with the immediate relief provided to address your issue?   Ans: Not Satisfied    Q: Please select the reason   Ans: Others    Comment: Ans:    Remark: Ans:     UP 100 Ki police 40 ya 45 minuts ke baad aayi to aur  unhone koi karyawahi nahi kari.  
20180501,GORAKHPUR,ACCIDENT,"  Q: Can we take your valuable feedback on your registered event with UP100 P01051810186?   Ans: YES    Q: Are you satisfied with the immediate relief provided to address your issue?   Ans: Not Satisfied    Q: Please select the reason   Ans: PRV did not reach at the place of event.    Q: Do you want to share any additional feedback?   Ans: NO    Comment: Ans:    Remark: Ans: caller ne bola up 100 ki police nahi aayi thi ,bol rahe the kharcha dena padega ,..caller santust  nahi hain  "
20180501,VARANASI,ACCIDENT,  Q: Can we take your valuable feedback on your registered event with UP100 P01051811633?   Ans: YES    Q: Are you satisfied with the immediate relief provided to address your issue?   Ans: Not Satisfied    Q: Please select the reason   Ans: Misbehaviour by the PRV staff.    Q: Do you want to share any additional feedback?   Ans: YES    Comment: Ans: MADAD KARNE KA BATLAB HAI KI HAM KISI DUSARE KA MADAD KARE  JISE HAM JANTE BHI NHI HAI AUR  POLICE KO TURANT KARVAHI KARNI CHAHIYE     Remark: Ans: CALLER NE BTAYA KI  100 NUMBE KI POLICE NE KAHA KI AISI TO ROJ KI   GHATNA HAI  HAM KYA KAR SAKTE HAI AUR  POLICE NE TURANT KOI BHI KARVAHI NHI KARI HAI   25 MINTS ME POLICE AAYI THI AUR   
20180528,LUCKNOW,FEMALE HARRASSMENT,  Q: Can we take your valuable feedback on your registered event with UP100 P28051801822?   Ans: YES    Q: Are you satisfied with the immediate relief provided to address your issue?   Ans: Not Satisfied    Q: Please select the reason   Ans: Others    Comment: Ans:    Remark: Ans:     UP 100 Ki police aayi to thi lekin unhone koi karyawahi nahi kari.  
20180601,GHAZIPUR,ACCIDENT,"  Q: Can we take your valuable feedback on your registered event with UP100 P01061800667?   Ans: YES    Q: Are you satisfied with the immediate relief provided to address your issue?   Ans: Not Satisfied    Q: Please select the reason   Ans: Misbehaviour by the PRV staff.    Q: Do you want to share any additional feedback?   Ans: NO    Comment: Ans:    Remark: Ans:  UP 100 ki police aayi thi lekin unhone caller se durvayvhaar kiya or karwahi se santuhst  hai,  "
20180601,LUCKNOW,ACCIDENT,  Q: Can we take your valuable feedback on your registered event with UP100 P01061800787?   Ans: YES    Q: Are you satisfied with the immediate relief provided to address your issue?   Ans: Not Satisfied    Q: Please select the reason   Ans: No action taken by Police Station staff.    Q: Do you want to share any additional feedback?   Ans: NO    Comment: Ans:    Remark: Ans: PRV ki police mauke par aayi thi unho ne puri help ki thi caller up 100 ki police se santust h             THANE  ki police ne koi help nhi kari thi thane ki police bol rahe the mukdma na karo aur apas me sulah kar lo bad me caller ne sulah kar liya tha lekin thane ki police se  caller santust nhi h  
20180601,CHANDAULI,ACCIDENT,  Q: Can we take your valuable feedback on your registered event with UP100 P01061801017?   Ans: YES    Q: Are you satisfied with the immediate relief provided to address your issue?   Ans: Not Satisfied    Q: Please select the reason   Ans: PRV did not reach at the place of event.    Q: Do you want to share any additional feedback?   Ans: NO    Comment: Ans:    Remark: Ans: PRV  mauke par  40 minute tak koi police nhi pahochi thi police ki call bhi nhi aayi thi caller santust nhi  h  
