,PRV,totalKMS,totalFUEL,mileage,Total Days,KMs per day,District,FuelperDay
45,130,15784.0,1019.8,15.477544616591489,132,119.57575757575758,Allahabad,7.725757575757576
46,131,673.0,82.85,8.12311406155703,8,84.125,Allahabad,10.35625
47,135,19965.0,1483.29,13.459943773638331,131,152.40458015267177,Allahabad,11.322824427480915
48,145,16002.0,1208.4500000000003,13.241755968389256,118,135.61016949152543,Allahabad,10.241101694915256
49,147,4554.0,425.71,10.697423128420757,110,41.4,Allahabad,3.870090909090909
50,148,5500.0,609.98,9.016689071772845,130,42.30769230769231,Bareilly,4.692153846153846
51,149,3919.0,466.19000000000005,8.406443724661617,124,31.60483870967742,Bareilly,3.759596774193549
52,152,4509.0,578.71,7.79146722883655,128,35.2265625,Bareilly,4.521171875
53,154,7437.0,850.35,8.745810548597635,125,59.496,Bareilly,6.8028
54,156,5602.0,697.97,8.026132928349355,129,43.42635658914729,Bareilly,5.41062015503876
55,157,4799.0,520.106,9.22696527246369,109,44.027522935779814,Bareilly,4.771614678899082
56,158,9399.0,924.3199999999999,10.168556344123248,130,72.3,Bareilly,7.110153846153846
57,160,7096.0,885.0400000000001,8.017716713368886,128,55.4375,Bareilly,6.914375000000001
58,161,3332.0,310.0,10.748387096774193,48,69.41666666666667,Bareilly,6.458333333333333
59,162,11216.0,1035.1000000000001,10.835668051395999,131,85.61832061068702,Bareilly,7.901526717557253
60,163,5604.0,554.656,10.103559683840075,143,39.18881118881119,Bareilly,3.8787132867132863
61,164,4149.0,559.97,7.409325499580334,125,33.192,Bareilly,4.479760000000001
62,165,6358.0,595.0,10.685714285714285,125,50.864,Bareilly,4.76
63,166,9649.0,809.96,11.912933972048002,124,77.81451612903226,Bareilly,6.531935483870968
64,170,10461.0,879.9000000000001,11.888851005796113,130,80.46923076923076,Bareilly,6.768461538461539
65,172,7374.0,776.1700000000001,9.50049602535527,131,56.29007633587786,Bareilly,5.9249618320610695
66,176,7485.0,769.96,9.721284222557015,133,56.278195488721806,Bareilly,5.789172932330827
67,178,12812.0,964.8,13.279436152570481,131,97.80152671755725,Bareilly,7.364885496183206
68,179,11651.0,875.197,13.312431372593828,143,81.47552447552448,Bareilly,6.120258741258741
69,180,14120.0,1179.98,11.966304513635825,129,109.45736434108527,Bareilly,9.147131782945737
70,182,11652.0,984.95,11.830042134118482,128,91.03125,Bareilly,7.694921875
71,183,12848.0,1065.43,12.058980880958861,126,101.96825396825396,Bareilly,8.455793650793652
72,184,14831.0,1266.76,11.707821528939974,131,113.21374045801527,Bareilly,9.669923664122138
73,187,13350.0,1109.47,12.032772404841952,133,100.37593984962406,Bareilly,8.341879699248121
74,189,12078.0,1045.92,11.547728315741164,128,94.359375,Bareilly,8.17125
75,194,12350.0,703.0,17.56756756756757,144,85.76388888888889,Bareilly,4.881944444444445
76,198,13920.0,1129.92,12.319456244689889,133,104.66165413533835,Bareilly,8.49563909774436
77,199,12740.0,1092.17,11.664850710054294,132,96.51515151515152,Bareilly,8.274015151515153
78,200,14380.0,1241.7,11.580897157123298,133,108.1203007518797,Bareilly,9.33609022556391
79,203,8000.0,459.82599999999996,17.397885287043362,123,65.04065040650407,Bareilly,3.738422764227642
80,206,11370.0,979.97,11.602395991714031,129,88.13953488372093,Bareilly,7.596666666666667
81,210,10701.0,929.99,11.50657533951978,129,82.95348837209302,Bareilly,7.209224806201551
82,211,12919.0,1124.99,11.483657632512289,130,99.37692307692308,Bareilly,8.65376923076923
83,212,14387.0,640.0,22.4796875,137,105.01459854014598,Bareilly,4.671532846715328
85,219,13775.0,1142.844,12.053263612531543,144,95.65972222222223,Bareilly,7.936416666666667
86,226,13634.0,1195.02,11.409014075078241,130,104.87692307692308,Bareilly,9.192461538461538
87,229,6200.0,500.03999999999996,12.399008079353653,120,51.666666666666664,Bareilly,4.167
88,230,1204.0,140.0,8.6,95,12.673684210526316,Bareilly,1.4736842105263157
89,231,7754.0,678.9399999999999,11.420744101098773,130,59.646153846153844,Bareilly,5.222615384615384
